period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,WVI,Dan Gorayo,Budunbuto - Settlement,WFP1847,7.61778,49.07695,TSFP_U5,17,0,0,,16,0,1,0,0,70,17,17,70,94,6,0
March,HEAL ,Ceel Afweyn,Fadhigab  - TSFP,WFP186,9.666649,47.014348,TSFP_U5,0,0,0,,0,0,0,0,0,120,0,0,120,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Faragoy - TSFP,WFP188,5.466401,46.524527,TSFP_U5,44,0,0,,20,0,0,0,0,48,44,20,72,100,0,0
March,WVI,Burtinle,Faratoyo - TSFP,WFP189,7.53474,47.81277,TSFP_U5,10,4,0,,11,0,0,1,0,42,14,12,44,92,0,8
March,HIDIG,Belet Weyne/Matabaan,Farlibah - TSFP,WFP190,4.87458,44.86873,TSFP_U5,0,0,4,,0,0,0,0,0,655,4,0,659,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Gadon - TSFP,WFP194,5.68118,46.683252,TSFP_U5,166,0,0,,33,0,0,0,0,113,166,33,246,100,0,0
March,SDO,Galdogob,GALDOGOB - TSFP,WFP195,7.05755,47.13494,TSFP_U5,456,0,0,,0,0,0,0,0,459,456,0,915,0,0,0
March,SDRO,Gaalkacyo,Galinsoor - TSFP,WFP196,6.42639,46.70553,TSFP_U5,17,0,0,,17,0,0,0,0,176,17,17,176,100,0,0
March,Mercy USA,Laas Caanood,Gambadhe - TSFP,WFP197,8.542969,47.483103,TSFP_U5,150,0,0,,0,0,0,0,0,,150,0,150,0,0,0
March,WVI,Dollo,Gedweyne - TSFP,WFP206,4.0302,42.29415,TSFP_U5,24,0,0,,3,0,0,0,0,77,24,3,98,100,0,0
March,WVI,Burtinle,Godobyar - TSFP,WFP211,7.72006,47.66395,TSFP_U5,13,0,0,,10,0,0,0,0,55,13,10,58,100,0,0
March,WVI,Dollo,Gubatta - TSFP,WFP221,4.1345,42.21043,TSFP_U5,26,0,0,,6,0,0,0,0,21,26,6,41,100,0,0
March,HADO,Iskushuban,Gumbax - TSFP,WFP222,10.88443,51.11405,TSFP_U5,244,0,0,,0,0,0,0,0,394,244,0,638,0,0,0
March,SDRO,Gaalkacyo,Horseed - TSFP,WFP242,3.209623,43.199554,TSFP_U5,329,0,0,0,105,0,0,3,0,1702,329,108,1923,97,0,3
March,WVI,Baydhaba/Bardaale,Howlwadag - TSFP,WFP244,3.11651,43.54367,TSFP_U5,120,0,0,,42,0,0,0,0,250,120,42,328,100,0,0
March,WVI,Luuq,IDP F - TSFP,WFP248,3.777534,42.561513,TSFP_U5,80,0,0,,64,0,0,0,0,205,80,64,221,100,0,0
March,DHO ,Diinsoor,Raahole - Settlement,WFP2490,2.42142,42.928669,TSFP_U5,39,0,0,,17,0,2,0,0,75,39,19,95,89,11,0
March,HADO,Iskushuban,Iskushuban - TSFP,WFP250,10.28178,50.23009,TSFP_U5,439,0,0,,0,0,0,0,0,312,439,0,751,0,0,0
March,WVI,Burtinle,Jalam - TSFP,WFP252,7.87079,48.04045,TSFP_U5,32,0,0,,31,0,0,0,0,120,32,31,121,100,0,0
March,SDO,Jariiban,JARIIBAN - TSFP,WFP257,7.21345,48.85104,TSFP_U5,411,0,0,,0,0,0,0,0,411,411,0,822,0,0,0
March,WOCCA,Jowhar,JOWHAR - TSFP,WFP258,8.16935,46.50269,TSFP_U5,0,0,0,,0,0,0,0,0,1285,0,0,1285,0,0,0
March,WVI,Eyl,Kabal - TSFP,WFP259,8.073611,49.959598,TSFP_U5,10,0,0,,6,0,0,0,0,25,10,6,29,100,0,0
March,WVI,Garowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_U5,76,0,0,,4,0,0,0,0,70,76,4,142,100,0,0
March,WVI,Belethawa,Kalagubta - TSFP,WFP263,3.933108,41.884086,TSFP_U5,6,3,3,,9,0,0,0,3,23,12,12,23,75,0,25
March,HEAL ,Ceel Afweyn,Kalsheish - TSFP,WFP266,10.062975,47.204693,TSFP_U5,0,0,0,,0,0,0,0,0,108,0,0,108,0,0,0
March,HEAL ,Ceel Afweyn,Badhigalis  - TSFP,WFP27,9.97234,47.29558,TSFP_U5,0,0,0,,0,0,0,0,0,35,0,0,35,0,0,0
March,HEAL ,Ceel Afweyn,LASDOMERE - TSFP,WFP270,9.81422,46.71377,TSFP_U5,0,0,0,,0,0,0,0,0,90,0,0,90,0,0,0
March,WVI,Belethawa,Lebiraar - TSFP,WFP275,3.73163,41.97727,TSFP_U5,11,2,2,,9,0,0,0,3,40,15,12,43,75,0,25
March,WVI,Garbahaarey/Buur Dhuubo,Luq Godey - TSFP,WFP279,3.79704,42.55408,TSFP_U5,35,0,0,,0,2,0,0,1,29,35,3,61,0,0,33
March,Mercy USA,Cabudwaaq,Hurshe - TSFP,WFP28,6.2102,46.42169,TSFP_U5,36,0,0,,11,0,0,0,0,435,36,11,460,100,0,0
March,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_U5,5,0,0,,7,0,0,0,0,59,5,7,57,100,0,0
March,WVI,Luuq,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_U5,23,0,0,,0,0,0,0,0,66,23,0,89,0,0,0
March,WVI,Eyl,Maraya - TSFP,WFP287,8.3206,50.16414,TSFP_U5,15,0,0,,11,0,0,0,0,35,15,11,39,100,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_U5,151,0,0,,32,0,0,0,0,114,151,32,233,100,0,0
